id,Status,Collection,Item Type,Total Checkouts,Total Renewals,Call Number,BibIds
1405522,AVAILABLE,Kids Room,Books,18,9,JF Farm (paper),1253190
1405542,AVAILABLE,Teen Room,Y Fiction,31,24,YF Lane (paper),1315687
1405543,AVAILABLE,Teen Room,Y Fiction,36,22,YF Lane (paper),1315687
1405544,AVAILABLE,Teen Room,Y Fiction,38,25,YF Lane (paper),1315687
1405944,AVAILABLE,Kids Room,Books,53,23,EJF Abbo (paper),1328664
1405945,AVAILABLE,Kids Room,Books,43,28,EJF Abbo (paper),1328664
1405995,AVAILABLE,Kids Room,Books,37,19,JSF Bem (paper),1292470
1406266,AVAILABLE,Kids Room,Books,47,20,JF Stin (paper),1321269
1406267,AVAILABLE,Kids Room,Books,51,15,JF Stin (paper),1321269
1406331,AVAILABLE,Kids Room,Books,13,14,JSF Stro (paper),1231156
1406335,AVAILABLE,Kids Room,Books,21,12,JF Park (paper),1150690
1406337,AVAILABLE,Kids Room,Books,16,8,JM VanD (paper),1153491
1406339,AVAILABLE,Kids Room,Books,26,17,EJF Clem (paper),1178004
1406341,LOST & PAID,Kids Room,Books,64,29,EJF Roy (paper),1154047
1406344,AVAILABLE,Kids Room,Books,63,32,EJF Roy (paper),1238351
1406346,AVAILABLE,Kids Room,Books,81,22,EJF Roy (paper),1215137
1406347,AVAILABLE,Kids Room,Books,80,15,EJF Roy (paper),1215137
1406350,AVAILABLE,Kids Room,Books,61,25,EJF Osbo (paper),1149255
1406353,AVAILABLE,Kids Room,Books,10,5,JF Flak (paper),1145390
1406354,AVAILABLE,Kids Room,Books,6,4,JF Flak (paper),1145390
1406380,AVAILABLE,Kids Room,Books,75,26,EJF Park (paper),1157612
1406381,AVAILABLE,Kids Room,Books,72,38,EJF Osbo (paper),1142593
1406416,AVAILABLE,Teen Room,Y Fiction,39,14,YF Pie (paper),1143595
1406451,AVAILABLE,Teen Room,Y Fiction,23,8,YF Bush (paper),1317796
1406452,AVAILABLE,Teen Room,Y Fiction,84,23,YF Oliv (paper),1315126
1406901,AVAILABLE,Kids Room,Books,34,21,JF Clea (paper),1068741
1407764,AVAILABLE,Kids Room,CHC DVD 7 Day,185,89,JDVD Adventures,1331006
1409763,AVAILABLE,Kids Room,Books,41,25,JM Lewm (paper),1336717
1410256,AVAILABLE,Kids Room,Books,66,21,JF Holu (paper),1302806
1410261,AVAILABLE,Kids Room,Books,64,35,EJF Roy (paper),1215137
1410264,AVAILABLE,Kids Room,Books,60,24,EJF Roy (paper),1336059
